구역,예보구역코드,세부코드,nx,ny
강릉,11D20000,11D20501,102,84
광주,11F20000,11F20501,73,134
군산,11F10000,21F10501,91,106
대구,11H10000,11H10701,50,67
대전,11C20000,11C20401,66,103
목포,11F20000,21F20801,76,122
부산,11H20000,11H20201,69,106
서귀포,11G00000,11G00401,102,94
서산,11C20000,11C20101,53,38
서울,11B00000,11B10101,60,127
세종,11C20000,11C20404,52,33
수원,11B00000,11B20601,89,90
안동,11H10000,11H10501,73,66
여수,11F20000,11F20401,92,131
울산,11H20000,11H20101,61,121
원주,11D10000,11D10401,67,100
인천,11B00000,11B20201,98,76
전주,11F10000,11F10201,51,110
제주,11G00000,11G00201,91,76
창원,11H20000,11H20301,63,89
청주,11C10000,11C10301,56,131
춘천,11D10000,11D10301,58,74
파주,11B00000,11B20305,55,124
포항,11H10000,11H10201,56,92
